brand_name,model_name,price_in_inr,customer_rating,safety_rating,annual_sales_2024,mileage_min(kmpl),mileage_max(kmpl),min_BHP,max_BHP,sales_status
BMW,X7,13100000,4.7,NULL,1570,11,14,335,375,Sold
BMW,M4,15600000,4.8,5,0,10,10,523,543,"No sales"
BMW,"7 Series",18400000,4.8,NULL,865,12,16,282,375,Sold
BMW,"2 Series Gran Coupe",4440000,4.6,5,0,14,18,176,189,"No sales"
BMW,Z4,9290000,4.7,5,0,12,12,335,335,"No sales"
BMW,M8,24400000,4.8,5,0,6,8,591,617,"No sales"
BMW,M2,10300000,4.7,5,0,10,10,453,473,"No sales"
BMW,"iX1 LWB",4900000,4.7,5,0,NULL,NULL,NULL,NULL,"No sales"
BMW,XM,26000000,4.7,5,0,61,61,483,644,"No sales"
BMW,i4,7250000,4.6,5,0,NULL,NULL,NULL,NULL,"No sales"
BMW,i7,20500000,4.8,5,384,NULL,NULL,NULL,NULL,Sold
BMW,iX1,6690000,4.3,5,0,10,11,NULL,NULL,"No sales"
BMW,"X4 M40i",9620000,4.6,5,0,10,10,355,355,"No sales"
BMW,iX,12100000,4.6,5,1189,NULL,NULL,NULL,NULL,Sold
BMW,i5,12000000,NULL,5,0,NULL,NULL,601,601,"No sales"
Skoda,Kylaq,825000,4.8,5,0,19,19,114,114,"No sales"
Skoda,Slavia,1049000,4.7,5,19092,18,20,114,148,Sold
Skoda,Kushaq,1099000,4.4,5,23395,18,19,114,148,Sold
Skoda,Kodiaq,4689000,4.8,NULL,1887,14,14,201,201,Sold
Mercedes-Benz,"A-Class Limousine",4605000,4.7,5,0,17,17,147,161,"No sales"
Mercedes-Benz,G-Class,25500000,4.7,5,0,6,6,326,577,"No sales"
Mercedes-Benz,GLC,7680000,4.7,5,0,NULL,NULL,194,255,"No sales"
Mercedes-Benz,GLA,5080000,4.8,5,0,NULL,NULL,161,188,"No sales"
Mercedes-Benz,C-Class,6030000,4.7,5,0,NULL,NULL,197,255,"No sales"
Mercedes-Benz,E-Class,7950000,4.8,5,0,NULL,NULL,194,375,"No sales"
Mercedes-Benz,GLS,13400000,4.3,5,0,NULL,NULL,362,375,"No sales"
Mercedes-Benz,"Maybach S-Class",27700000,4.7,5,0,7,9,496,603,"No sales"
Mercedes-Benz,GLE,10100000,4.8,5,0,NULL,NULL,265,375,"No sales"
Mercedes-Benz,S-Class,18600000,4.5,5,0,12,15,282,375,"No sales"
Mercedes-Benz,"Maybach GLS",33900000,4.6,5,0,NULL,NULL,550,550,"No sales"
Mercedes-Benz,"AMG GLC43 Coupe",11200000,4.2,5,0,NULL,NULL,416,416,"No sales"
Mercedes-Benz,EQB,7220000,4.6,5,0,NULL,NULL,NULL,NULL,"No sales"
Mercedes-Benz,"CLE cabriolet",11100000,4.7,5,0,NULL,NULL,255,255,"No sales"
Mercedes-Benz,EQA,6720000,NULL,5,0,NULL,NULL,NULL,NULL,"No sales"
Mercedes-Benz,EQS,13000000,4.6,5,0,NULL,NULL,NULL,NULL,"No sales"
Mercedes-Benz,"AMG G-Class",37500000,NULL,5,0,NULL,NULL,577,577,"No sales"
Mercedes-Benz,"G580 with EQ technology",30000000,4.9,5,0,NULL,NULL,NULL,NULL,"No sales"
Mercedes-Benz,"Maybach SL 680",43500000,NULL,5,0,NULL,NULL,577,577,"No sales"
Mercedes-Benz,"AMG GLA35",6350000,4.8,5,0,13,13,302,302,"No sales"
Mercedes-Benz,"AMG C 43",9940000,4.8,5,0,NULL,NULL,402,402,"No sales"
Mercedes-Benz,"EQS SUV",13100000,NULL,5,0,NULL,NULL,NULL,NULL,"No sales"
